order_id,on_time_delivery,on_time_delivery_normalized,days_sales_outstanding,days_sales_outstanding_normalized,order_accuracy,order_accuracy_normalized,invoice_accuracy,invoice_accuracy_normalized,avg_cost_delivery,avg_cost_delivery_normalized
order_1522,70.72,0.7072,43,0.4778,70.88,0.7088,76.06,0.7606,42.11,0.4211
order_1523,89.79,0.8979,40,0.4444,80.68,0.8068,70.78,0.7078,45.78,0.4578
order_1524,87.84,0.8784,34,0.3778,93.51,0.9351,91.81,0.9181,22.18,0.2218
order_1525,90.76,0.9076,32,0.3556,94.54,0.9454,96.73,0.9673,23.97,0.2397
order_1526,92.61,0.9261,31,0.3444,91.78,0.9178,94.87,0.9487,23.75,0.2375
order_1527,94.42,0.9442,30,0.3333,93.43,0.9343,87.08,0.8708,21.22,0.2122
order_1528,92.99,0.9299,31,0.3444,95.6,0.956,91.43,0.9143,22.65,0.2265
order_1529,65.82,0.6582,42,0.4667,60.0,0.6,68.5,0.685,28.22,0.2822
order_153,93.62,0.9362,34,0.3778,95.17,0.9517,96.56,0.9656,20.1,0.201
order_1530,95.24,0.9524,34,0.3778,93.41,0.9341,95.41,0.9541,19.79,0.1979
order_1531,87.53,0.8753,30,0.3333,92.68,0.9268,88.83,0.8883,24.45,0.2445
order_1532,72.93,0.7293,43,0.4778,72.01,0.7201,55.44,0.5544,39.62,0.3962
order_1533,59.7,0.597,41,0.4556,66.42,0.6642,85.9,0.859,43.47,0.4347
order_1534,90.32,0.9032,35,0.3889,91.88,0.9188,93.63,0.9363,22.4,0.224
order_1535,77.11,0.7711,49,0.5444,81.13,0.8113,72.31,0.7231,28.07,0.2807
order_1536,87.12,0.8712,32,0.3556,94.23,0.9423,88.61,0.8861,26.82,0.2682
order_1537,94.55,0.9455,34,0.3778,94.18,0.9418,91.36,0.9136,20.1,0.201
order_1538,90.23,0.9023,33,0.3667,90.9,0.909,93.0,0.93,21.69,0.2169
order_1539,59.74,0.5974,36,0.4,73.1,0.731,85.1,0.851,41.34,0.4134
order_154,85.99,0.8599,33,0.3667,90.13,0.9013,95.25,0.9525,21.06,0.2106
order_1540,74.25,0.7425,49,0.5444,66.99,0.6699,58.82,0.5882,34.5,0.345
order_1541,93.12,0.9312,28,0.3111,86.92,0.8692,90.65,0.9065,23.1,0.231
order_1542,93.6,0.936,31,0.3444,92.97,0.9297,95.46,0.9546,18.26,0.1826
order_1543,88.83,0.8883,32,0.3556,95.12,0.9512,90.47,0.9047,22.07,0.2207
order_1544,82.54,0.8254,30,0.3333,95.13,0.9513,89.05,0.8905,22.12,0.2212
order_1545,91.34,0.9134,31,0.3444,94.43,0.9443,89.11,0.8911,21.59,0.2159
order_1546,91.83,0.9183,32,0.3556,92.53,0.9253,92.67,0.9267,23.43,0.2343
order_1547,83.85,0.8385,35,0.3889,93.16,0.9316,93.28,0.9328,24.39,0.2439
order_1548,85.88,0.8588,30,0.3333,93.28,0.9328,89.65,0.8965,25.47,0.2547
order_1549,68.15,0.6815,38,0.4222,77.43,0.7743,60.38,0.6038,35.63,0.3563
order_155,90.95,0.9095,31,0.3444,93.77,0.9377,90.41,0.9041,18.97,0.1897
order_1550,77.57,0.7757,52,0.5778,76.13,0.7613,71.8,0.718,42.16,0.4216
order_1551,86.19,0.8619,36,0.4,94.51,0.9451,96.9,0.969,20.53,0.2053
order_1552,89.54,0.8954,46,0.5111,79.87,0.7987,71.87,0.7187,36.51,0.3651
order_1553,93.6,0.936,32,0.3556,89.08,0.8908,88.65,0.8865,21.63,0.2163
order_1554,77.48,0.7748,41,0.4556,84.53,0.8453,55.0,0.55,38.86,0.3886
order_1555,84.55,0.8455,34,0.3778,93.76,0.9376,93.26,0.9326,20.27,0.2027
order_1556,93.84,0.9384,35,0.3889,95.46,0.9546,91.61,0.9161,23.16,0.2316
order_1557,69.34,0.6934,46,0.5111,87.55,0.8755,78.56,0.7856,33.62,0.3362
order_1558,91.08,0.9108,29,0.3222,95.43,0.9543,93.35,0.9335,18.26,0.1826
order_1559,86.51,0.8651,31,0.3444,93.25,0.9325,88.37,0.8837,22.78,0.2278
order_156,90.75,0.9075,32,0.3556,92.11,0.9211,95.15,0.9515,25.31,0.2531
order_1560,88.55,0.8855,30,0.3333,95.23,0.9523,90.93,0.9093,21.72,0.2172
order_1561,92.22,0.9222,27,0.3,97.3,0.973,92.22,0.9222,21.18,0.2118
order_1562,89.73,0.8973,32,0.3556,89.67,0.8967,96.48,0.9648,22.08,0.2208
order_1563,91.33,0.9133,34,0.3778,91.45,0.9145,93.42,0.9342,21.46,0.2146
order_1564,81.77,0.8177,28,0.3111,75.31,0.7531,65.18,0.6518,40.59,0.4059
order_1565,78.76,0.7876,37,0.4111,71.01,0.7101,69.11,0.6911,32.62,0.3262
order_1566,81.74,0.8174,39,0.4333,60.0,0.6,67.0,0.67,31.77,0.3177
order_1567,85.11,0.8511,29,0.3222,94.27,0.9427,95.99,0.9599,22.63,0.2263
order_1568,88.18,0.8818,33,0.3667,92.85,0.9285,89.92,0.8992,19.69,0.1969
order_1569,84.74,0.8474,31,0.3444,94.4,0.944,91.71,0.9171,21.17,0.2117
order_157,87.16,0.8716,34,0.3778,90.71,0.9071,94.33,0.9433,20.0,0.2
order_1570,68.98,0.6898,32,0.3556,72.49,0.7249,77.8,0.778,41.09,0.4109
order_1571,82.83,0.8283,44,0.4889,68.27,0.6827,67.35,0.6735,33.32,0.3332
order_1572,93.99,0.9399,29,0.3222,96.23,0.9623,94.68,0.9468,25.66,0.2566
order_1573,71.72,0.7172,45,0.5,91.97,0.9197,65.06,0.6506,28.79,0.2879
order_1574,84.36,0.8436,34,0.3778,89.29,0.8929,90.88,0.9088,22.87,0.2287
order_1575,90.56,0.9056,33,0.3667,94.56,0.9456,95.84,0.9584,20.1,0.201
order_1576,69.58,0.6958,36,0.4,81.81,0.8181,77.2,0.772,40.71,0.4071
order_1577,84.47,0.8447,34,0.3778,87.67,0.8767,82.19,0.8219,42.41,0.4241
order_1578,95.35,0.9535,28,0.3111,92.69,0.9269,89.79,0.8979,23.44,0.2344
order_1579,86.85,0.8685,34,0.3778,97.43,0.9743,94.09,0.9409,22.57,0.2257
order_158,67.1,0.671,36,0.4,84.75,0.8475,76.23,0.7623,37.77,0.3777
order_1580,71.66,0.7166,29,0.3222,68.5,0.685,85.29,0.8529,30.32,0.3032
order_1581,76.52,0.7652,47,0.5222,67.22,0.6722,71.48,0.7148,43.63,0.4363
order_1582,90.04,0.9004,39,0.4333,89.83,0.8983,95.18,0.9518,21.65,0.2165
order_1583,92.32,0.9232,33,0.3667,92.17,0.9217,92.69,0.9269,18.28,0.1828
order_1584,91.81,0.9181,33,0.3667,95.6,0.956,95.17,0.9517,22.74,0.2274
order_1585,90.44,0.9044,30,0.3333,92.22,0.9222,95.56,0.9556,24.87,0.2487
order_1586,89.29,0.8929,32,0.3556,91.74,0.9174,95.52,0.9552,23.33,0.2333
order_1587,95.82,0.9582,30,0.3333,93.05,0.9305,92.69,0.9269,23.29,0.2329
order_1588,89.35,0.8935,30,0.3333,96.2,0.962,94.16,0.9416,20.17,0.2017
order_1589,94.07,0.9407,35,0.3889,94.34,0.9434,92.24,0.9224,23.11,0.2311
order_159,68.11,0.6811,41,0.4556,60.93,0.6093,77.01,0.7701,28.63,0.2863
order_1590,94.51,0.9451,31,0.3444,93.47,0.9347,90.12,0.9012,21.42,0.2142
order_1591,86.35,0.8635,26,0.2889,84.94,0.8494,72.7,0.727,30.76,0.3076
order_1592,66.4,0.664,51,0.5667,69.38,0.6938,60.77,0.6077,44.82,0.4482
order_1593,91.02,0.9102,30,0.3333,94.54,0.9454,88.92,0.8892,24.2,0.242
order_1594,93.18,0.9318,33,0.3667,94.9,0.949,97.28,0.9728,22.0,0.22
order_1595,86.45,0.8645,33,0.3667,99.22,0.9922,88.96,0.8896,21.28,0.2128
order_1596,91.25,0.9125,32,0.3556,91.54,0.9154,95.37,0.9537,26.64,0.2664
order_1597,90.59,0.9059,30,0.3333,90.13,0.9013,92.77,0.9277,24.21,0.2421
order_1598,78.8,0.788,41,0.4556,71.88,0.7188,61.26,0.6126,43.01,0.4301
order_1599,92.74,0.9274,28,0.3111,97.97,0.9797,93.72,0.9372,24.8,0.248
order_16,85.97,0.8597,29,0.3222,93.63,0.9363,93.51,0.9351,25.59,0.2559
order_160,92.12,0.9212,31,0.3444,91.43,0.9143,95.69,0.9569,20.07,0.2007
order_1600,88.03,0.8803,39,0.4333,87.13,0.8713,75.43,0.7543,37.18,0.3718
order_1601,70.84,0.7084,39,0.4333,79.0,0.79,70.62,0.7062,34.44,0.3444
order_1602,73.67,0.7367,41,0.4556,61.1,0.611,73.67,0.7367,32.12,0.3212
order_1603,86.54,0.8654,28,0.3111,89.52,0.8952,87.93,0.8793,20.58,0.2058
order_1604,95.86,0.9586,31,0.3444,94.44,0.9444,93.2,0.932,22.26,0.2226
order_1605,89.77,0.8977,29,0.3222,97.63,0.9763,97.42,0.9742,18.63,0.1863
order_1606,86.93,0.8693,31,0.3444,91.59,0.9159,93.52,0.9352,20.54,0.2054
order_1607,96.5,0.965,35,0.3889,94.53,0.9453,95.08,0.9508,24.21,0.2421
order_1608,70.49,0.7049,36,0.4,76.55,0.7655,76.89,0.7689,38.83,0.3883
order_1609,85.27,0.8527,30,0.3333,93.82,0.9382,91.77,0.9177,25.95,0.2595
order_161,85.84,0.8584,33,0.3667,97.72,0.9772,98.81,0.9881,21.19,0.2119
order_1610,78.93,0.7893,44,0.4889,77.37,0.7737,69.21,0.6921,40.62,0.4062
order_1611,54.74,0.5474,45,0.5,76.88,0.7688,68.22,0.6822,50.28,0.5028
order_1612,69.6,0.696,39,0.4333,89.94,0.8994,63.34,0.6334,34.7,0.347
order_1613,89.56,0.8956,34,0.3778,94.52,0.9452,88.12,0.8812,20.94,0.2094
order_1614,88.18,0.8818,32,0.3556,95.06,0.9506,93.25,0.9325,18.45,0.1845
order_1615,93.19,0.9319,33,0.3667,97.46,0.9746,93.33,0.9333,24.2,0.242
order_1616,91.4,0.914,35,0.3889,95.31,0.9531,91.71,0.9171,26.54,0.2654
order_1617,92.67,0.9267,33,0.3667,90.81,0.9081,88.14,0.8814,22.59,0.2259
order_1618,90.44,0.9044,30,0.3333,94.35,0.9435,96.77,0.9677,23.39,0.2339
order_1619,86.58,0.8658,32,0.3556,91.99,0.9199,90.84,0.9084,21.17,0.2117
order_162,71.18,0.7118,33,0.3667,75.11,0.7511,65.52,0.6552,20.42,0.2042
order_1620,96.16,0.9616,35,0.3889,93.06,0.9306,92.06,0.9206,19.66,0.1966
order_1621,88.57,0.8857,52,0.5778,77.1,0.771,78.19,0.7819,39.05,0.3905
order_1622,85.99,0.8599,31,0.3444,94.33,0.9433,90.64,0.9064,21.56,0.2156
order_1623,74.27,0.7427,41,0.4556,76.37,0.7637,61.52,0.6152,33.7,0.337
order_1624,86.15,0.8615,34,0.3778,88.74,0.8874,95.46,0.9546,24.77,0.2477
order_1625,89.09,0.8909,25,0.2778,93.1,0.931,91.81,0.9181,19.98,0.1998
order_1626,88.45,0.8845,36,0.4,95.66,0.9566,89.23,0.8923,18.8,0.188
order_1627,89.02,0.8902,31,0.3444,95.24,0.9524,90.39,0.9039,23.02,0.2302
order_1628,95.81,0.9581,34,0.3778,93.88,0.9388,91.45,0.9145,21.29,0.2129
order_1629,93.54,0.9354,30,0.3333,94.11,0.9411,92.15,0.9215,21.0,0.21
order_163,85.88,0.8588,33,0.3667,93.85,0.9385,93.5,0.935,20.93,0.2093
order_1630,93.66,0.9366,30,0.3333,98.28,0.9828,86.76,0.8676,22.87,0.2287
order_1631,91.43,0.9143,30,0.3333,95.06,0.9506,95.84,0.9584,17.57,0.1757
order_1632,91.51,0.9151,26,0.2889,91.59,0.9159,96.89,0.9689,20.84,0.2084
order_1633,65.61,0.6561,40,0.4444,90.48,0.9048,55.35,0.5535,31.69,0.3169
order_1634,94.49,0.9449,37,0.4111,93.74,0.9374,88.28,0.8828,26.19,0.2619
order_1635,94.78,0.9478,34,0.3778,91.97,0.9197,91.85,0.9185,21.68,0.2168
order_1636,90.99,0.9099,36,0.4,96.2,0.962,88.77,0.8877,24.75,0.2475
order_1637,90.94,0.9094,34,0.3778,97.67,0.9767,88.67,0.8867,21.93,0.2193
order_1638,88.41,0.8841,28,0.3111,94.87,0.9487,99.53,0.9953,18.32,0.1832
order_1639,89.9,0.899,34,0.3778,94.31,0.9431,91.66,0.9166,19.4,0.194
order_164,90.7,0.907,30,0.3333,88.53,0.8853,95.58,0.9558,23.92,0.2392
order_1640,90.15,0.9015,33,0.3667,96.69,0.9669,92.67,0.9267,23.81,0.2381
order_1641,72.62,0.7262,49,0.5444,78.25,0.7825,71.55,0.7155,30.38,0.3038
order_1642,90.86,0.9086,30,0.3333,92.4,0.924,89.55,0.8955,19.87,0.1987
order_1643,96.37,0.9637,35,0.3889,98.8,0.988,88.33,0.8833,22.14,0.2214
order_1644,86.12,0.8612,30,0.3333,91.7,0.917,95.72,0.9572,21.21,0.2121
order_1645,83.55,0.8355,45,0.5,92.13,0.9213,58.16,0.5816,45.56,0.4556
order_1646,93.44,0.9344,30,0.3333,96.52,0.9652,93.01,0.9301,21.55,0.2155
order_1647,68.41,0.6841,37,0.4111,90.35,0.9035,70.01,0.7001,42.69,0.4269
order_1648,68.67,0.6867,36,0.4,83.57,0.8357,59.2,0.592,35.51,0.3551
order_1649,90.1,0.901,32,0.3556,93.55,0.9355,93.19,0.9319,23.39,0.2339
order_165,92.2,0.922,30,0.3333,93.29,0.9329,95.58,0.9558,23.79,0.2379
order_1650,85.88,0.8588,33,0.3667,89.05,0.8905,92.14,0.9214,25.8,0.258
order_1651,67.42,0.6742,36,0.4,81.35,0.8135,57.66,0.5766,34.2,0.342
order_1652,91.79,0.9179,30,0.3333,93.41,0.9341,94.23,0.9423,22.84,0.2284
order_1653,90.8,0.908,31,0.3444,94.93,0.9493,91.63,0.9163,22.92,0.2292
order_1654,71.02,0.7102,40,0.4444,69.07,0.6907,69.72,0.6972,33.13,0.3313
order_1655,86.66,0.8666,33,0.3667,94.53,0.9453,94.35,0.9435,21.14,0.2114
order_1656,91.22,0.9122,33,0.3667,95.11,0.9511,89.52,0.8952,22.3,0.223
order_1657,91.09,0.9109,32,0.3556,88.78,0.8878,92.48,0.9248,26.43,0.2643
order_1658,88.92,0.8892,30,0.3333,94.93,0.9493,92.94,0.9294,24.39,0.2439
order_1659,64.94,0.6494,45,0.5,80.13,0.8013,68.86,0.6886,40.03,0.4003
order_166,93.09,0.9309,34,0.3778,91.14,0.9114,94.46,0.9446,21.87,0.2187
order_1660,90.22,0.9022,32,0.3556,93.62,0.9362,95.58,0.9558,21.83,0.2183
order_1661,86.64,0.8664,31,0.3444,94.45,0.9445,95.69,0.9569,23.21,0.2321
order_1662,68.2,0.682,56,0.6222,77.85,0.7785,80.2,0.802,37.09,0.3709
order_1663,91.6,0.916,34,0.3778,97.05,0.9705,95.17,0.9517,23.74,0.2374
order_1664,89.05,0.8905,31,0.3444,94.83,0.9483,94.8,0.948,21.55,0.2155
order_1665,93.2,0.932,36,0.4,91.71,0.9171,89.49,0.8949,21.72,0.2172
order_1666,90.92,0.9092,31,0.3444,97.38,0.9738,93.27,0.9327,22.08,0.2208
order_1667,85.69,0.8569,29,0.3222,94.7,0.947,85.6,0.856,24.03,0.2403
order_1668,89.53,0.8953,40,0.4444,99.77,0.9977,91.46,0.9146,21.79,0.2179
order_1669,92.99,0.9299,36,0.4,89.9,0.899,86.64,0.8664,20.76,0.2076
order_167,91.75,0.9175,33,0.3667,96.67,0.9667,88.4,0.884,17.37,0.1737
order_1670,92.57,0.9257,30,0.3333,88.95,0.8895,92.44,0.9244,23.59,0.2359
order_1671,89.63,0.8963,31,0.3444,93.6,0.936,90.89,0.9089,19.3,0.193
order_1672,69.28,0.6928,44,0.4889,78.25,0.7825,71.34,0.7134,32.03,0.3203
order_1673,73.55,0.7355,28,0.3111,77.25,0.7725,81.43,0.8143,29.16,0.2916
order_1674,70.31,0.7031,43,0.4778,84.77,0.8477,66.41,0.6641,33.85,0.3385
order_1675,84.09,0.8409,32,0.3556,99.11,0.9911,92.83,0.9283,21.96,0.2196
order_1676,77.58,0.7758,41,0.4556,70.31,0.7031,76.59,0.7659,39.35,0.3935
order_1677,90.05,0.9005,30,0.3333,97.26,0.9726,93.99,0.9399,20.89,0.2089
order_1678,83.01,0.8301,38,0.4222,70.53,0.7053,63.92,0.6392,27.37,0.2737
order_1679,91.41,0.9141,27,0.3,90.93,0.9093,85.77,0.8577,21.83,0.2183
order_168,73.8,0.738,39,0.4333,68.7,0.687,60.62,0.6062,40.79,0.4079
order_1680,88.35,0.8835,33,0.3667,91.79,0.9179,92.54,0.9254,24.61,0.2461
order_1681,91.76,0.9176,31,0.3444,94.64,0.9464,91.28,0.9128,22.02,0.2202
order_1682,72.4,0.724,40,0.4444,77.48,0.7748,62.05,0.6205,31.9,0.319
order_1683,85.83,0.8583,28,0.3111,90.96,0.9096,92.48,0.9248,20.21,0.2021
order_1684,91.54,0.9154,32,0.3556,89.08,0.8908,93.96,0.9396,23.62,0.2362
order_1685,87.02,0.8702,33,0.3667,91.86,0.9186,92.29,0.9229,19.47,0.1947
order_1686,84.62,0.8462,31,0.3444,93.69,0.9369,90.81,0.9081,19.63,0.1963
order_1687,71.8,0.718,43,0.4778,75.69,0.7569,71.46,0.7146,33.98,0.3398
order_1688,93.52,0.9352,29,0.3222,95.22,0.9522,95.55,0.9555,22.96,0.2296
order_1689,73.38,0.7338,38,0.4222,83.25,0.8325,58.62,0.5862,32.18,0.3218
order_169,88.81,0.8881,35,0.3889,94.95,0.9495,89.1,0.891,21.38,0.2138
order_1690,70.09,0.7009,37,0.4111,82.85,0.8285,59.03,0.5903,47.65,0.4765
order_1691,92.48,0.9248,35,0.3889,92.84,0.9284,91.55,0.9155,19.13,0.1913
order_1692,88.43,0.8843,33,0.3667,97.24,0.9724,88.68,0.8868,21.27,0.2127
order_1693,89.55,0.8955,29,0.3222,95.48,0.9548,89.83,0.8983,21.61,0.2161
order_1694,88.64,0.8864,30,0.3333,93.98,0.9398,91.35,0.9135,21.26,0.2126
order_1695,69.17,0.6917,43,0.4778,87.58,0.8758,71.12,0.7112,43.98,0.4398
order_1696,63.88,0.6388,42,0.4667,68.32,0.6832,58.18,0.5818,33.56,0.3356
order_1697,93.58,0.9358,34,0.3778,94.61,0.9461,87.4,0.874,21.61,0.2161
order_1698,77.41,0.7741,42,0.4667,63.09,0.6309,62.88,0.6288,37.62,0.3762
order_1699,91.61,0.9161,27,0.3,93.59,0.9359,92.43,0.9243,23.7,0.237
order_17,92.08,0.9208,33,0.3667,92.0,0.92,86.28,0.8628,21.21,0.2121
order_170,93.0,0.93,35,0.3889,95.78,0.9578,93.29,0.9329,22.76,0.2276
order_1700,88.33,0.8833,32,0.3556,98.17,0.9817,89.17,0.8917,25.23,0.2523
order_1701,72.42,0.7242,49,0.5444,66.15,0.6615,74.69,0.7469,33.58,0.3358
order_1702,63.68,0.6368,42,0.4667,83.07,0.8307,63.24,0.6324,29.01,0.2901
order_1703,89.72,0.8972,32,0.3556,95.37,0.9537,94.85,0.9485,21.88,0.2188
order_1704,95.57,0.9557,33,0.3667,93.13,0.9313,87.17,0.8717,21.47,0.2147
order_1705,72.31,0.7231,47,0.5222,79.24,0.7924,60.57,0.6057,39.03,0.3903
order_1706,92.01,0.9201,36,0.4,96.22,0.9622,94.28,0.9428,22.12,0.2212
order_1707,78.11,0.7811,48,0.5333,66.67,0.6667,67.2,0.672,33.36,0.3336
order_1708,91.14,0.9114,35,0.3889,92.51,0.9251,84.83,0.8483,21.18,0.2118
order_1709,82.31,0.8231,44,0.4889,79.0,0.79,67.76,0.6776,30.33,0.3033
order_171,79.12,0.7912,36,0.4,91.29,0.9129,74.56,0.7456,34.52,0.3452
order_1710,70.11,0.7011,40,0.4444,74.32,0.7432,78.93,0.7893,39.12,0.3912
order_1711,87.81,0.8781,37,0.4111,94.12,0.9412,94.31,0.9431,20.78,0.2078
order_1712,77.9,0.779,43,0.4778,62.77,0.6277,86.12,0.8612,45.74,0.4574
order_1713,71.82,0.7182,34,0.3778,78.43,0.7843,70.69,0.7069,40.13,0.4013
order_1714,76.53,0.7653,44,0.4889,86.13,0.8613,74.54,0.7454,31.7,0.317
order_1715,94.09,0.9409,36,0.4,100.0,1.0,88.63,0.8863,22.49,0.2249
order_1716,58.34,0.5834,44,0.4889,72.16,0.7216,85.39,0.8539,33.35,0.3335
order_1717,61.49,0.6149,38,0.4222,62.17,0.6217,76.01,0.7601,25.61,0.2561
order_1718,75.23,0.7523,29,0.3222,73.76,0.7376,83.15,0.8315,40.16,0.4016
order_1719,87.41,0.8741,32,0.3556,94.05,0.9405,93.42,0.9342,19.27,0.1927
order_172,79.74,0.7974,25,0.2778,71.59,0.7159,66.09,0.6609,41.8,0.418
order_1720,90.07,0.9007,28,0.3111,91.54,0.9154,92.6,0.926,21.84,0.2184
order_1721,88.26,0.8826,31,0.3444,95.74,0.9574,90.45,0.9045,21.82,0.2182
order_1722,96.51,0.9651,28,0.3111,89.37,0.8937,94.35,0.9435,20.64,0.2064
order_1723,72.45,0.7245,36,0.4,74.18,0.7418,82.79,0.8279,42.81,0.4281
order_1724,92.59,0.9259,28,0.3111,91.12,0.9112,83.48,0.8348,20.38,0.2038
order_1725,82.65,0.8265,44,0.4889,74.45,0.7445,69.82,0.6982,33.87,0.3387
order_1726,90.61,0.9061,34,0.3778,89.96,0.8996,92.9,0.929,23.86,0.2386
order_1727,71.68,0.7168,45,0.5,95.7,0.957,69.17,0.6917,40.36,0.4036
order_1728,69.1,0.691,42,0.4667,79.22,0.7922,71.56,0.7156,31.88,0.3188
order_1729,90.62,0.9062,36,0.4,95.12,0.9512,94.89,0.9489,21.53,0.2153
order_173,92.25,0.9225,33,0.3667,91.62,0.9162,92.96,0.9296,20.02,0.2002
order_1730,88.1,0.881,32,0.3556,94.74,0.9474,88.43,0.8843,24.11,0.2411
order_1731,91.72,0.9172,30,0.3333,90.16,0.9016,91.57,0.9157,21.11,0.2111
order_1732,75.91,0.7591,39,0.4333,61.95,0.6195,66.89,0.6689,36.17,0.3617
order_1733,91.9,0.919,30,0.3333,98.2,0.982,86.27,0.8627,24.62,0.2462
order_1734,89.33,0.8933,34,0.3778,94.2,0.942,95.42,0.9542,21.23,0.2123
order_1735,66.21,0.6621,50,0.5556,75.21,0.7521,71.77,0.7177,45.41,0.4541
order_1736,66.74,0.6674,45,0.5,71.87,0.7187,68.94,0.6894,38.43,0.3843
order_1737,85.5,0.855,30,0.3333,97.38,0.9738,94.66,0.9466,21.87,0.2187
order_1738,90.73,0.9073,31,0.3444,97.39,0.9739,91.4,0.914,22.46,0.2246
order_1739,84.17,0.8417,36,0.4,86.91,0.8691,57.76,0.5776,47.78,0.4778
order_174,88.88,0.8888,31,0.3444,89.27,0.8927,90.64,0.9064,19.92,0.1992
order_1740,88.18,0.8818,32,0.3556,96.39,0.9639,92.62,0.9262,22.62,0.2262
order_1741,66.24,0.6624,36,0.4,88.59,0.8859,64.12,0.6412,47.94,0.4794
order_1742,89.27,0.8927,32,0.3556,96.68,0.9668,95.82,0.9582,21.78,0.2178
order_1743,88.84,0.8884,32,0.3556,94.84,0.9484,94.67,0.9467,22.01,0.2201
order_1744,91.86,0.9186,36,0.4,94.95,0.9495,92.93,0.9293,18.96,0.1896
order_1745,82.11,0.8211,33,0.3667,93.76,0.9376,90.46,0.9046,22.49,0.2249
order_1746,89.82,0.8982,35,0.3889,94.22,0.9422,89.76,0.8976,23.98,0.2398
order_1747,89.35,0.8935,33,0.3667,92.81,0.9281,90.05,0.9005,22.17,0.2217
order_1748,90.04,0.9004,33,0.3667,93.33,0.9333,86.49,0.8649,21.13,0.2113
order_1749,92.38,0.9238,31,0.3444,93.38,0.9338,94.96,0.9496,20.58,0.2058
order_175,85.37,0.8537,32,0.3556,92.79,0.9279,89.1,0.891,21.65,0.2165
order_1750,78.93,0.7893,41,0.4556,78.15,0.7815,84.51,0.8451,35.94,0.3594
order_1751,90.84,0.9084,31,0.3444,91.88,0.9188,90.25,0.9025,21.04,0.2104
order_1752,91.08,0.9108,38,0.4222,92.21,0.9221,90.75,0.9075,21.87,0.2187
order_1753,91.19,0.9119,33,0.3667,97.21,0.9721,84.72,0.8472,17.23,0.1723
order_1754,88.51,0.8851,35,0.3889,90.09,0.9009,82.98,0.8298,23.14,0.2314
order_1755,90.73,0.9073,29,0.3222,91.54,0.9154,89.09,0.8909,22.22,0.2222
order_1756,88.12,0.8812,33,0.3667,86.86,0.8686,89.43,0.8943,19.75,0.1975
order_1757,72.95,0.7295,38,0.4222,81.58,0.8158,55.13,0.5513,38.27,0.3827
order_1758,79.47,0.7947,52,0.5778,72.63,0.7263,72.6,0.726,27.18,0.2718
order_1759,55.86,0.5586,46,0.5111,75.96,0.7596,79.43,0.7943,29.76,0.2976
order_176,91.56,0.9156,37,0.4111,95.05,0.9505,92.83,0.9283,22.02,0.2202
order_1760,85.29,0.8529,35,0.3889,92.47,0.9247,93.51,0.9351,18.87,0.1887
order_1761,86.46,0.8646,36,0.4,93.13,0.9313,96.36,0.9636,21.84,0.2184
order_1762,84.47,0.8447,34,0.3778,92.53,0.9253,94.1,0.941,22.05,0.2205
order_1763,62.66,0.6266,42,0.4667,91.37,0.9137,73.94,0.7394,37.65,0.3765
order_1764,83.6,0.836,42,0.4667,77.47,0.7747,61.27,0.6127,39.4,0.394
order_1765,83.28,0.8328,36,0.4,85.97,0.8597,69.27,0.6927,32.67,0.3267
order_1766,92.99,0.9299,31,0.3444,95.9,0.959,91.12,0.9112,21.88,0.2188
order_1767,91.48,0.9148,33,0.3667,89.01,0.8901,88.64,0.8864,23.86,0.2386
order_1768,73.94,0.7394,38,0.4222,66.49,0.6649,61.36,0.6136,25.87,0.2587
order_1769,74.19,0.7419,37,0.4111,69.23,0.6923,69.46,0.6946,40.18,0.4018
order_177,96.28,0.9628,28,0.3111,96.9,0.969,94.92,0.9492,20.44,0.2044
order_1770,90.61,0.9061,31,0.3444,94.46,0.9446,96.53,0.9653,23.21,0.2321
order_1771,91.53,0.9153,31,0.3444,90.29,0.9029,91.37,0.9137,24.41,0.2441
order_1772,85.42,0.8542,29,0.3222,94.32,0.9432,89.05,0.8905,20.41,0.2041
order_1773,88.73,0.8873,29,0.3222,91.56,0.9156,94.11,0.9411,19.39,0.1939
order_1774,85.21,0.8521,30,0.3333,95.83,0.9583,91.41,0.9141,21.07,0.2107
order_1775,90.13,0.9013,28,0.3111,95.24,0.9524,93.15,0.9315,21.18,0.2118
order_1776,93.02,0.9302,29,0.3222,96.82,0.9682,92.46,0.9246,21.33,0.2133
order_1777,89.94,0.8994,32,0.3556,97.05,0.9705,88.77,0.8877,20.47,0.2047
order_1778,93.11,0.9311,31,0.3444,96.25,0.9625,97.1,0.971,21.2,0.212
order_1779,92.04,0.9204,29,0.3222,95.89,0.9589,92.6,0.926,22.95,0.2295
order_178,69.84,0.6984,31,0.3444,79.52,0.7952,55.0,0.55,36.1,0.361
order_1780,92.82,0.9282,32,0.3556,98.87,0.9887,95.08,0.9508,20.69,0.2069
order_1781,75.22,0.7522,41,0.4556,64.92,0.6492,62.48,0.6248,34.64,0.3464
order_1782,58.71,0.5871,41,0.4556,74.26,0.7426,56.62,0.5662,40.43,0.4043
order_1783,92.15,0.9215,33,0.3667,93.19,0.9319,93.77,0.9377,23.36,0.2336
order_1784,90.92,0.9092,30,0.3333,94.69,0.9469,95.59,0.9559,20.81,0.2081
order_1785,91.78,0.9178,38,0.4222,76.23,0.7623,64.62,0.6462,39.34,0.3934
